,Komentar
225,"

Kl ngga mau sengsara kerja lebih keras.
"
226,"

Hahaha meroket utangnya wahahaha
"
227,"

Terima kasih , semoga  para direksi dan komisaris d Pertamina semakin kaya dan   masyarakat miskin semakin tak berdaya
"
228,"

Selamat anda sudah berhasil dengan cita cita mulia.... Membuat rakyat lebih menderita lagi dan oligarki semakin berjaya, sambo semakin menggila. Anda ( bp presiden layak mendapatkan penghargaan yang lebih tinggi lagi)  bersama staf staf yang juga sangat luar biasa MERDEKA!!!
"
229,"

Kok sewot
"
230,"

rakyat  harus terima kenaikan ini
"
231,"

lucu bgt wong iki
"
232,"

di negara lain aja di atas 15k ada yang sampai 25k juga
"
233,"

Pindah k negara lain aja mas
"
234,"

Besok harga sembako ikut naik, biaya angkutan buah klpa sawit juga naik. Mantap jgn kasih kendor lg
"
235,"

 @Agus Herdianto  emg nya kau hidup di negara mana.
"
236,"

sekolah yg pintar ya
"
237,"

 @Agus Herdianto  maksudnya gmn?
berarti di indo harus lbh mahal dari negara lain gt y?
cerdas..
"
238,"

Naik gak apa apa... Masih bisa beli aja kok.... Heran saya cuman puan maharani dan oneng yang dulu nangis bombay waktu pak by naikin bbm.. sekarang kok hilang gak ada suara nya
"
239,"

Kerja yang rajin biar kebeli bensin makanya , ceban aja ngeluh
"
240,"

Anda pusing coba lihat negara lain
"
241,"

 @Agus Herdianto  tapi dulu *mau naik 500 rupee ada yg bela wong cilik ampe ngoser2 skrg naik beribu ribu di komenin kya diatas
"
242,"

Aku orang miskin, 
Tapi aku yakin.  Inilah yang terbaik bagi bangsa ini.
BBM subsidi kebanyakan dinikmati, perusahaan"" besar.
"
243,"

 @ruly hendra  justru di indonesia termasuk murah , dibandingkan negara lain maksud dia
"
244,"

 @Agus Herdianto  Lu Hidup Di negara mana bro
"
245,"

 @Agung Asmara  kangen demo BBM yg mau naik 500 perak
"
246,"

 @Agung Asmara  itulah hebatnya cebong, udah menderita masih pura2 bahagia 
"
247,"

Negara² asia tenggara aja diatas 10k naiknya apalagi eropa dan negara² lain sudah jauh² bulan naikan harga bbm yg naik secara grobal...
"
248,"

 @Agus Herdianto  gayamu...sok bandingin Indonesia dgn luar negri.
"
249,"

Sabar lebih indah.....
"
250,"

Selamat pendukung mobil2 mewah, Fortuner, pajero ,innova, memakai bbm subsidi  yg kelewat murah... 
Jgn2 kamu punya salah mobil mewah tsb
"
251,"

Di USA bensin perliternya sekitar Rp 20 ribu. Bersukurlah masih dapat setengah harga.
"
252,"

oligarki panganan opo??? 
"
253,"

 @Yori Lisman  maksudnya dia harga pertalite masih murah jika dibandingkan negara² lainnya.
"
254,"

 @Yori Lisman  maksudnya dia harga pertalite masih murah jika dibandingkan negara² lainnya.
"
255,"

Rakyat yg malas yg cuma bisa mengekuh kali yg sengsara
Atao bangsa kadrun yg glojotan
Rakyat yg mau kerja keras gak ngaruh tuh.. 
10ribu udah bisa buat muter2 pakai motor.. 
Jualan cilok juga dapat nya 400ribu se hari.. 
Kalo gak mau BBM naik
Jangan pakai mesin pakai aja sandal jepit
"
256,"

 @Agus Herdianto  pindah aja mas
"
257,"

Merdeka!!!!!!
"
258,"

 @Cipta Kurnia  negara mana mas
"
259,"

 @mu fa  usa negara kaya jgn bandingin sama negaramu mas bro.. beda kelas
"
260,"

Belajar lah hidup yg baik! Jangan jadi orang yg selalu bawel rubah lah hidup anda semuga Allah menjaga anda
"
261,"

Wkwkwkwk
Sewot BBM naik
Sono ikutan Demo
Jangan lupa lapor sama jujungan mu si raja kadrun
"
262,"

menderita ? kalo pemerintah menderita negara ini bangkrut lo mau tanggung jawab ? rakyat aja macet2an di puncak bisa sampe habisin bensin
"
263,"

 @Kusnadi Arwani  lihat juga pendapatan per kapitanya,jangan asal bilang negara2 lain juga pada naik.kita dibanding ama malaysia aja masih mending malaysia.malaysia itu GDPnya 3 kali lipat dibanding kita terus bbm subsidinya di RON 95
"
264,"

coba hidup di papua....... 
mau ngomong apa coba???
"
265,"

 @Agus Herdianto  di negara mana?? Naik pun gaji mereka juga sepadan, disana di gaji perjam, lah disini 12 jam berdiri cuma di gaji 50 ribu / hari
"
266,"

jaman sby di papua 50rb ane yg tinggal di papua gak ngedumel kayak lu fik taufik., justru pak jokowi menyelamatkan negara ini agar subsidi tepat sasaran, lu komen gk ngotak lu
"
267,"

 @mu fa  kono duwite berharga bos ,pendapatane bedo,ojo di bandingne,kanggo wong kono 20 ewu ora sepiro,kanggone wong amerika
"
268,"

 @Deeewaa 3  setuju...btw solusix bukan di naikin hargax..tp pengawasanx yg di perbaiki...
"
269,"

Wonderful Indonesia Dengan Kearifan Lokal Yang Tiada Tara 
"
270,"

 @mu fa  yg bener aja bandinginnya..masak indo km bandingin sm USA...ngawuuur
"
271,"

 @I like it  kalau subsidi, nanti negara bangkrut, mirip jaman soeharto, rupiah jadi turun 5x lipat, akibat subsidi bbm, kebanyakan bbm dinikmati pemilik mobil pribadi. Sementara hasil BBM semuanya impor, karena belum bisa mengolah sendiri, produksi kilang bbm dalam negri jauh dari cukup, sementara cadangan BBM dan gas diseluruh dunia diperkirakan akan habis total tahun 2060. Lebih baik subsidi bbmnya dipakai bangun banyak bendungan untuk pembangkit listrik dan reboisasi daerah mata air, agar air sungainya tetap kenceng. Atau tetap aja subsidi, tapi anak cucu gelap gulita karena infrastruktur listrik kurang.
"
272,"

 @ Fyodor Gavril  lah bbm disana naik 50 ribu itu gak ngaruh bong,karena papua itu masih bisa mengandalkan hasil alam dan wisatanya.kalau disini di kota2 besar mana bisa.mobilitasnya tinggi terus beban kerjanya lebih kompleks,serta tagihan bulanannya lebih tinggi.situ jangan bodoh2in orang2.
"
273,"

 @Agus Herdianto  Tinggal dimana kau? di hutan? kalau BBM seharga 100rb/Liter pun gk masalah, kalau pemerintah mengimbangi juga dgn menaikkan juga UMR.
"
274,"

 @Mmnk ahmad  ya udah, subsidi aja mirip ide pengusung hilapah, biar negara bangkrut mirip jaman suharto tahun 1998, rupiah turun 5x lipat, karena subsidi bbm.
"
275,"

 @ Fyodor Gavril   tepat sasaran gimana?? Yang ada malah amsyong dong, ya gk di naikan juga kalik mas, kasihan Mereka yang gaji mentok UMR, kerja 12jam/hari(58k), kalau ngak ada kenaikan gaji pada Buruh Buruh pabrik, pasti mangkin susah dong logika aja, kalau mau tepat sasaran ya harus ada peraturan baru, yakni motor yang cc nya di atas 130 tidak bisa pakai subsidi.
"
276,"

 @Yori Lisman  aku hanya orang desa biasa yang hidup sederhana
"
277,"

 @Rusmini Rushady  pindah ke yang lebih murah
"
278,"

 @Yuni Wahyuni  gaji sedikit ndak pa² di syukuri aja
"
279,"

 @mu fa  kalo ngebandingin jangan hanya harga bbm nya, lo bandingin juga pendapatan warganya ... Telorrr
"
280,"

 @Mmnk ahmad  aku ndak menyebut nama negara mana lho ya 
"
281,"

 @imam syafii  gaji saya ndak sampai 500k mas perbulan
"
282,"

 @Ridho Ramadhan  hitung sendiri aja bang selisih diangka berapa. The end no debat. Saya mau kerja dl
"
283,"

 @Agus Herdianto   wkwkwk mensyukuri yang tidak masuk logika?? Apa yang harus di syukuri, ibarat kau kerja rodi tapi upah minim, tidak sebanding sama kenaikan harga sembako, bunuh diri itu namanya broo, wkwkwk lu kira gwe bloon apa
"
284,"

 @Rizky abang oiii  mantap
"
285,"

 @Rusmini Rushady  nanti kalau sudah berkeluarga klau udah punya rejeki pisah pindah ndak ikut ortu
"
286,"

 @Yuni Wahyuni  liat en sing ngisi pertalite rata2 mobil menengah keatas,
"
287,"

 @Yuni Wahyuni  kamu kira ini negara penghasil minyak, kita masih import dari luar, lek terus2 di subsidi pemerintah hutang e numpuk bisa seperti srilanka, gelem a ???
"
288,"

 @ Fyodor Gavril   ya makanya, di sediain peraturan di SPBU, setidaknya pihak pertamina menghimbau bahwa pertalite untuk orang kelas bawah, kan simple gk usah ngang ngong ngang ngong
"
289,"

Inflasi
"
290,"

 @ Fyodor Gavril  Sejatinya dalam urusan minyak mentah, Singapura adalah importir minyak dari Indonesia. Di mana, Singapura membeli minyak mentah Indonesia yang kemudian diolah di dalam kilang di Singapura.

Karena kilang Itulah kekalahan Indonesia atas Singapura. Yang mana, Singapura sudah berhasil memiliki kilang yang mampu mengolah BBM. Alhasil, Indonesia membeli produk minyak olahan dari Singapura lantaran belum adanya kilang produk olahan minyak itu.

Dalam catatan CNBC Indonesia sendiri, saat ini ada tiga kilang besar yang beroperasi di Negeri Singa tersebut. Yaitu ExxonMobil Jurong Island Refinery dengan kapasitas 605.000 bph. Kemudian SRC Jurong Island Refinery berkapasitas 290.000 bph serta Sehll Pulau Bukom Refinery berkapasitas 500.000 bph.
"
291,"

 @Kusnadi Arwani  Lu Tinggal Dimana bro
"
292,"

Saya rasa cuman kamu dan seglintir komplotan mu yg menderita, 
"
293,"

 @Agus Herdianto  ya org yg tak faham memang mcm tu sukanya koar koar,semua negara pun mengalami kenaikan jga kan
"
294,"

 @Agung Asmara   maksut nya? Elu gak trima peraturan pemerintah kah?
"
295,"

 @Missrina  Rina  siap
"
296,"

 @mu fa  emangx 98 bangkrut krn subsidi BBM???dan apa hubungannya kenaikan BBM sm Khilafah???ngga nyambung banget bro...literasinya di perbanyak donk br comment
"
297,"

 @Missrina  Rina  mantap
"
298,"

 @Mmnk ahmad  anda betul,
Masalah nya penyeludupan meraja Lela.
Terkadang, yg mengawasi yg bermain
"
299,"

 @Missrina  Rina  hanya tulisan saja bisa jadi seperti ini wah anda hebat
"
300,"

 @Agus Herdianto  makanya ngak udah kau samakan negara lain sama indonesia ini.
Indonesia ini nama nya aja negara kaya
Tapi rakyat banyak sengsara.
Ekonomi sulit pendapat sulit.
Kalo di nagara luar sana org2 nya rata2 berpendapatan rata2 di atas kita.
"
301,"

 @Yori Lisman  siip
"
302,"

Padahal niatku cuma memberi tahu ndak membandingkan
"
303,"

 @Nu ry  sekarang rakyat miskin sudah mulai naik kelas menengah sayang, jadi kalo bbm naik ,ok gak masalah bagi kami
"
304,"

 @Ridho Ramadhan  haha mereka cuma bisa bilang nya gtu bro.
Tapi tidak menilai gimana rata2 pendapatan org luar sana sama kita di sini indonesia.
Nilai tukar uang nya aja sdikit uang mereka tapi banyak uang kita dari segi nilai nya.
"
305,"

 @Agus Herdianto  alasannya td kan subsidi tdk tepat sasaran...ya harusx regulasi dan pengawasan yg di perbaiki bukan malah di naikin...kecuali kl alasannya  negara bangkrut krn subsidi terlalu gede ya blh lah di naikin....dan masalah harga BBM antar satu negara dng negara lain ngga bisa di bandingin...nggak bijak krn tingkat kesejahteraan masy dan SDA minyak berbeda2...masih byk jg negara yg harga BBMnya jauh di bawah indo kok..
"
306,"

 @Yuni Wahyuni  ndak sih cuma ngegas aja
"
307,"

 @Dd Yy   saya rasa cuman kamu dan seglintir komplotan mu,
"
308,"

 @Deeewaa 3  nah itu masalahnya...terus perbaiki regulasi dan pengawasan bukan malah naikin hargax,,,,kecuali kl alasannya negara bangkrut ya apa blh buat kita tetap ikhlas BBM naik.
"
309,"

 @I like it  saya setuju bbm naik,
"
310,"

 @Li Nangkong  terus aj pura pura bahagia bong...
Mamam tuh pujaan kalian wkwkwk
"
311,"

GARA GARA MOBIL PRIBADI PAKE bbm subsidi pertalite, HARGA PERTALIT JADI NAIK.
PMERINTAH UDA TAU ORANG KAYA PAKE bbm subsidi pertalit,KENAPA GAK DILARANG MOBIL PRIBADI PAKE bbm subsidi pertalit.?
MOBIL PRIBADI HARGA RATUSAN JUTA RUPIAH TAPI PAKE bbm subsidi️️
"
312,"

 @Rizky abang oiii  dari pada dapor mu, males kakean sambat,
"
313,"

 @Tuti  Ajiwirya oligarki , ketoe dudu cekan , lek
"
314,"

 @Subardi  ealah lek lek, mikirmu cetek ngono kok,
"
315,"

 @Mmnk ahmad  semua negara pensubsidi bbm kebanyakan bangkrut, yang untung para penyelundup bbm ke singapura/ negara lain, mereka mandi uang, kalau sedang pesta. Kata orang luar,  emang orang indo dikutuk untuk mudah ditipu halusinasi orang lain, orang tuanya bakar uang subsidi,  anak cucunya yang nanggung. Aman aja gue dah sukur, kalau ternyata maju, itu suatu keajaiban.
"
316,"

 @Mmnk ahmad  semuanya sampai saat ini kan terus diperbaiki.
Cuma msh ada aja oknum yang nakal.   Percayalah,  selama hidup saya, ini lah pemerintahan yg terbaik.
"
317,"

 @Yori Lisman  rakyat model kamu , ayo jangan berhenti mengeluh,
"
318,"

 @Mmnk ahmad  bbm naik oke gak masalah bagi kami,saya pikir pemerintah lebih cerdas dari kamu deh sayang,
"
319,"

Lanjutkan
"
320,"

 @Aldy Marshill  yah saya akan selalu berusaha untuk berbahagia,
"
321,"

 @Dd Yy  gimana cebonk gk bahagia pan dapet BLT sama bansos hahahahhaha
"
322,"

 @Li Nangkong  ya sih lbh cerdas tp cerdas sj bukan jaminan kl hatinya busuk
"
323,"

 @Deeewaa 3  ya sih se7... terbaik ngibulnya...hihihihi
"
324,"

 @Nu ry  itulah contoh orang2 munafik
"
325,"

Teruskan
"
326,"

Kapan Indonesia bisa sejahtera?
Menurut saya,jika pemerintah ada pengumuman atau ada kebijakan mending di bicarakan terlebih dahulu dengan rakyat karena semua ini untuk kesejahteraan masyarakat Indonesia bukan untuk pejabat Indonesia 
"
327,"

Semoga Allah menjaga para pemimpin kita, indonesia baru naik sedang negara lain sdh lama naik
"
328,"

Alhmdllah ya Allah, BBM hari ini naik..
Yg miskin jd miskin yg kaya makin kaya.
Semangat Pak Jokowi..!
"
329,"

Kami setuju apapun yg ditetapkan pemerintah ,pasti yg terbaik untuk rakyat semuanya ,dan berlangsung pemerintan ,..sayang bantuan tunai untuk masyarakat ,banyak yg kurang tepat ,..karna banyak org kecil tdk punya hp androit dan tdk punya akses bahkan kadang ndak tau sm sekali ,..dan banyak tokoh pengurus yg mendata ,mash punya rasa pd saudara ,org yg disenengi dan semacamnya .
Jd kasihan warga yg mau bekerja tp tdk mencukupi malah pd tdk dapat...tolong di cek lagi 
"
330,"

Hoax aja jokowi subsidi BBM 502 T data nya coba di kasih tau ke publik biar paham jangan suka ngibul rincian subsidi BBM 502 T mana datanya jangan suka ngibul rakyat
"
331,"

iya sama d tempt sy pun byk yg begitu,,yg byk kontrakan dpt bansos,,yg punya cincin berlian pda dapt bansos,,
"
332,"

Terimakasih pak de Saya seorang tukang ojek kampung yang penghasilan 60 rb sehari sangat bersukur dengan naiknya BBM   jangan repot repot berpikir BLT  pak  sy sama sekali tidak pernah menerima BLT sebab daerah sy kurang amanah dalam pembagian BLT sy sebagai rakyat kecil bersyukur karena pilihan bapak untuk menaikan harga sudah keputusan yang benar. Semoga kami sekeluarga bisa bertahan dengan kondisi Indonesia yang sekarang
"
333,"

Saran saya mungkin bapak gabung atau buat serikat pak, jangan mau terima keadaan, kalau perlu lapor pejabat daerah agar bisa segera diritul . Hidup rakyat!
"
334,"

Join ojek online jg pak, biar penghasilan bertambah
"
335,"

Ya bro ,,saya juga gojek ,, penghasilan sepi makan juga bingung ,,, skrg tambah mumet ,, kita hanya bisa mohon pertolongan kpd Allah SWT dan kami yakin hukum Allah SWT itu pasti datang
"
336,"

Hoax aja jokowi subsidi BBM 502 T data nya coba di kasih tau ke publik biar paham jangan suka ngibul rincian subsidi BBM 502 T mana datanya jangan suka ngibul rakyat
"
337,"

🇮🇩untuk regenarasi seluruh anak bangsa Indonesia yg merasa santai tanpa beban padahal mentalnya sedang di bantai habis habisan semoga sehat selalu sukses selalu dan semangat terus 🇮🇩
"
338,"

Smoga Allah subhanahu wa ta'ala selalu memberikan kita pertolongan atas segala musibah yg kita hadapi.., hidup smakin susah, bbm  di naikan, kerja susah, usaha bangkrut,,
"
339,"

Berdoa dan berusaha gimana caranya usaha gak bangkrut
"
340,"

Tenang ntr dikirimin duit sm pak presiden 12 triliunan
"
341,"

Semangat bro
"
342,"

Tujuan pemerintah jelas mensejahterakan rakyat tidak pandang bulu......ini coba apakah ini sesuai dengan tujuan.....
"
343,"

Jokowi..Tdk pntas km
"
344,"

Negara ini sedang tdk baik2 saja buat rakyat kecil ya allah
"
345,"

Bismillah. Pak presiden tolong diperhatikan juga Uang pensiunan DPR seharusnya di hapus agar tidak terjadi pembengkakan. Bukan hanya dari kenaikan BBM solusinya...
"
346,"

alhamdulillah, terimakasih pak.. semoga bapak2 yg di atas sana makin sehat2 dan berjaya terus kedepannya.. semoga nikmat dunia ini bsa bapak nikmati sampe akhir hayat., dan semoga ALLAH SWT memberikan hal yg setimpal pula hendaknya nanti di akhirat bagi bapak2 di atas yg terhormat.. Aamiin Y rabb 
"
347,"

Selamat rakyat Indonesia anda memiliki pemimpin yang mencintai rakyatnya.....

Terimakasih bapak SBY ... 
dijaman anda kami hidup sejahtera....
"
348,"

Iyaa pegawai negri gji naik trus soalnya.jmn sby.
Tp sya bkn pgwai negri jd  sma aja jdinya
"
349,"

Sebenernya bagus.. semoga penyaluran subsidinya bener"" tepat sasaran..
"
350,"

Semoga Tuhan yg maha kuasa selalu membantu dan memberikan pertolongan ny untuk setiap langkah perjuangan hidup kita semua nya dan hidup negri kita yg tercinta ini aamiin
"
351,"

Ya pak  terima kasih banyak sudah menaikan harga bbm nya 
 Semoga Indonesia akan lebih baik lagi 
"
352,"

Semangat semuanya,.semoga kita semakin sabar mengahadapi semuanya mudah mudahan kita semua di limpahkan rezeki yang halal, siap siap menghadapi kenaikan bahan pokok......
"
353,"

Aamiin
"
354,"

Semoga yg mampu bantu yg kurang mampu ,Yg kuat bantu yang lemah, yang kaya bantu yang miskin,  doakan semoga indonesia semakin manu jaya dan sukses. Semoga rakyat indonesia sehat2 selalu terimkasih pak jokowi . bpk untuk keputusan kali ini saya kasih nilai 4,5 pak. Karena banyak rakyat bpk yg kecewa.
"
355,"

Pemerintah RI beserta jajaran nya yang terhormat, ngga selamanya rakyat yang disebut miskin berharap terus seperti pengemis dengan nilai subsidi yang di berikan negara, lebih baik dana subsidi dipakai buat menekan kenaikan harga BBM biar naik nya ngga seenak jidat..
"
356,"

yang miskin, suka miskin karena dapat talangan dari negara setiap waktu
"
357,"

semoga bapak sehat terus dan di ampuni dosa2nya krn telah menaikkan hrga bbm.yg dimana rakyat masih susah krn dampak pandemi ini skrg malah naikkan bbm.semoga presiden selanjutnya bisa lebih mengerti masyarakatnya,Aaminn.
"
358,"

syukur Alhamdulillah di Malaysia masih murah... saya doakan semoga Indonesia pun akan murah jugak BBM
"
359,"

YG TERPENTING TERBAIK BUAT BANGSA DAN NEGARA..BERSUSAH2 BERSAMA TDK MENGAPA DARIPADA NEGARA NKRI KOLAPS... MAJU INDONESIA RAYA!
"
360,"

Terimakasih pak   saya terharu dan bangga ke pada bapak presiden semangkin banyak peningkatan dan kesejatraan untuk rakyat indonesia kita tercinta ini pak.. semangat rakyat indonesia
"
361,"

Semoga indonesia tambah maju..
Mudahan keputusan ini dpt memperkuat lagi ekonomi indonesia menuju indonesia maju. Sy yakin dgn mu  mr president..
"
362,"

Mohon pemerintah bentuk tim khusus utk mendata rakyat yg berhak menerima bansos agar tepat sasaran, selama ini yg lewat RT dan kelurahan banyak yg berhak ngga nerima dan yg mampu malah yg nerima
"
363,"

betul sekali
"
364,"

Bener bangeeeeeeet
"
365,"

Betul sekali BLT banyak yang salah sasaran mohon yang berwenang untuk untuk  mengecek ulang
"
366,"

Tolong pemerintah hapuskan semua subsidi. Rakyat manut ajj
"
367,"

Betul saya duakali ke kelurahan dari tahun lalu daftar pkh dan kjp aja boro2 da di ikut sertakan.. Sementara yah yg dapat gitu deeh..
"
368,"

Tim khusus seperti apa lagi yg kau minta? Bayar gajinya berapa? Yaelah
"
369,"

Kenaikan yang tertunda, ini sebenarnya sudah dari dua tahun lalu, tapi saran pak buat pemakai roda 4 yg selama ini ikut menikmati subsidi dinaikkan harganya, pertalite roda dua 10.000, roda empat 15.000 kecuali angkutan umum di data agar tertib
"
